ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Gene name)	Subunits comment	PubMed ID	Complex comment	Disease comment	SWISSPROT organism	subunits(Gene name syn)	subunits(Protein name)
352	DNA ligase IV-XRCC4 complex	Human	None	None	P49917;Q13426	3981;7518	MI:0004- affinity chromatography technologies	GO:0006281;GO:0006312;GO:0003677;GO:0005694	DNA repair;mitotic recombination;DNA binding;chromosome	10.01.05.01;10.01.05.03.03;16.03.01;70.10.03	DNA repair;somatic / mitotic recombination;DNA binding;chromosome	LIG4;XRCC4	None	10854421	None	None	Homo sapiens (Human);Homo sapiens (Human)	None;None	DNA ligase 4;DNA repair protein XRCC4
353	DNA ligase IV-condensin complex	Human	None	None	O95347;P49917;Q9NTJ3	10592;3981;10051	MI:0428- imaging techniques; MI:0402- chromatin immunoprecipitation assays; MI:0019- coimmunoprecipitation	GO:0006281;GO:0007049;GO:0005694	DNA repair;cell cycle;chromosome	10.01.05.01;10.03;70.10.03	DNA repair;cell cycle;chromosome	SMC2;LIG4;SMC4	None	12589063	DNA ligase IV interacts with SMC2L1 protein.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	CAPE SMC2L1;None;CAPC SMC4L1	Structural maintenance of chromosomes protein 2;DNA ligase 4;Structural maintenance of chromosomes protein 4
354	DNA ligase IV-XRCC4 complex	Human	None	None	P49917;Q13426	3981;7518	MI:0428- imaging techniques; MI:0402- chromatin immunoprecipitation assays	GO:0006281;GO:0006312;GO:0003677;GO:0005694	DNA repair;mitotic recombination;DNA binding;chromosome	10.01.05.01;10.01.05.03.03;16.03.01;70.10.03	DNA repair;somatic / mitotic recombination;DNA binding;chromosome	LIG4;XRCC4	None	12589063	XRCC4 and DNA ligase IV do not colocalize during mitosis.	None	Homo sapiens (Human);Homo sapiens (Human)	None;None	DNA ligase 4;DNA repair protein XRCC4
355	DNA-PK-Ku complex	Human	DNA-PK-Ku antigen complex; DNA-PK-Ku70-Ku80 complex	None	P12956;P13010;P78527	2547;7520;5591	MI:0091-chromatography technologies	GO:0009299;GO:0006468;GO:0046777;GO:0003677;GO:0005634	mRNA transcription;protein phosphorylation;protein autophosphorylation;DNA binding;nucleus	11.02.03;14.07.03;16.03.01;70.10	mRNA synthesis;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;nucleus	XRCC6;XRCC5;PRKDC	None	1465419	Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G22P1, KU70;G22P2, KU86;HYRC, HYRC1	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;DNA-dependent protein kinase catalytic subunit
356	DNA-PK-Ku complex	Human	DNA-PK-Ku antigen complex; DNA-PK-Ku70-Ku80 complex	None	P12956;P13010;P78527	2547;7520;5591	MI:0030-cross-linking studies;MI:0019-coimmunoprecipitation	GO:0009299;GO:0006468;GO:0046777;GO:0003677;GO:0005634	mRNA transcription;protein phosphorylation;protein autophosphorylation;DNA binding;nucleus	11.02.03;14.07.03;16.03.01;70.10	mRNA synthesis;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;nucleus	XRCC6;XRCC5;PRKDC	None	8422676	DNA-PK is directed to the DNA by interaction with Ku antigen.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G22P1, KU70;G22P2, KU86;HYRC, HYRC1	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;DNA-dependent protein kinase catalytic subunit
357	DNA-PK-Ku complex	Human	DNA-PK-Ku antigen complex; DNA-PK-Ku70-Ku80 complex	None	P12956;P13010;P78527	2547;7520;5591	MI:0029-cosedimentation through density gradients	GO:0009299;GO:0006468;GO:0046777;GO:0003677;GO:0005634	mRNA transcription;protein phosphorylation;protein autophosphorylation;DNA binding;nucleus	11.02.03;14.07.03;16.03.01;70.10	mRNA synthesis;modification by phosphorylation, dephosphorylation, autophosphorylation;DNA binding;nucleus	XRCC6;XRCC5;PRKDC	None	8486698	Ku antigen activates DNA-PK that phosphorylates the C-terminal domain of RNA polymerase II.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	G22P1, KU70;G22P2, KU86;HYRC, HYRC1	X-ray repair cross-complementing protein 6;X-ray repair cross-complementing protein 5;DNA-dependent protein kinase catalytic subunit
359	DNA ligase IV-XRCC4-XLF complex	Human	None	None	P49917;Q13426;Q9H9Q4	3981;7518;79840	MI:0007- anti tag coimmunoprecipitation	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	LIG4;XRCC4;NHEJ1	None	16439205	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;XLF	DNA ligase 4;DNA repair protein XRCC4;Non-homologous end-joining factor 1
360	Artemis-DNA-PK complex	Human	None	None	P78527;Q96SD1	5591;64421	MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006281;GO:0006312;GO:0003677;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;mitotic recombination;DNA binding;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;10.01.05.03.03;16.03.01;32.01.09;70.10	DNA degradation;DNA repair;somatic / mitotic recombination;DNA binding;DNA damage response;nucleus	PRKDC;DCLRE1C	None	16857680	DNA-PKcs is necessary for the loading of Artemis on damaged chromatin. Ku-mediated assembly of DNA-PK on DNA ends is responsible for a dissociation of the DNA-PKcs\u00b7Artemis complex.	None	Homo sapiens (Human);Homo sapiens (Human)	HYRC, HYRC1;ARTEMIS ASCID SCIDA SNM1C	DNA-dependent protein kinase catalytic subunit;Protein artemis
361	Artemis-DNA-PK complex	Human	None	None	P78527;Q96SD1	5591;64421	MI:0007- anti tag coimmunoprecipitation	GO:0006163;GO:0006144;GO:0006281;GO:0006312;GO:0003677;GO:0006974;GO:0005634	purine nucleotide metabolic process;purine nucleobase metabolic process;DNA repair;mitotic recombination;DNA binding;cellular response to DNA damage stimulus;nucleus	01.03.01;10.01.05.01;10.01.05.03.03;16.03.01;32.01.09;70.10	purin nucleotide/nucleoside/nucleobase metabolism;DNA repair;somatic / mitotic recombination;DNA binding;DNA damage response;nucleus	PRKDC;DCLRE1C	None	11955432	Upon complex formation, DNA-PKcs phosphorylates Artemis, and Artemis acquires endonucleolytic activity on 5' and 3' overhangs, as well as hairpins. Finally, the Artemis:DNA-PKcs complex can open hairpins generated by the RAG complex.	None	Homo sapiens (Human);Homo sapiens (Human)	HYRC, HYRC1;ARTEMIS ASCID SCIDA SNM1C	DNA-dependent protein kinase catalytic subunit;Protein artemis
362	DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	Human	None	None	P06746;P18887;P49916;Q96T60	5423;7515;3980;11284	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0006974;GO:0005634	DNA repair;cellular response to DNA damage stimulus;nucleus	10.01.05.01;32.01.09;70.10	DNA repair;DNA damage response;nucleus	POLB;XRCC1;LIG3;PNKP	None	11163244	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;;None;	DNA polymerase beta;DNA repair protein XRCC1 ;DNA ligase 3;Bifunctional polynucleotide phosphatase/kinase
363	DNA ligase III-XRCC1 complex	Human	None	None	P18887;P49916	7515;3980	MI:0004- affinity chromatography technologies	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	XRCC1;LIG3	None	15141024	None	None	Homo sapiens (Human);Homo sapiens (Human)	;None	DNA repair protein XRCC1 ;DNA ligase 3
365	DNA ligase III-XRCC1 complex	Human	None	None	P18887;P49916	7515;3980	MI:0071- molecular sieving	GO:0006281;GO:0005634	DNA repair;nucleus	10.01.05.01;70.10	DNA repair;nucleus	XRCC1;LIG3	None	16060670	DNA polymerase beta promotes recruitment of the XRCC1-Lig3 complex to sites of base excision repair. However Pol-beta is not stably complexed with the XRCC1-Lig3 heterodimer.	None	Homo sapiens (Human);Homo sapiens (Human)	;None	DNA repair protein XRCC1 ;DNA ligase 3
368	ERCC1-ERCC4-MSH2 complex	Human	None	None	P07992;P43246;Q92889	2067;4436;2072	MI:0071- molecular sieving; MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;10.01.05.01;32.01.09;70.10	DNA degradation;DNA repair;DNA damage response;nucleus	ERCC1;MSH2;ERCC4	None	14706347	None	ERCC4 is involved in xeroderma pigmentosum group F.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;ERCC11 XPF	DNA excision repair protein ERCC-1;DNA mismatch repair protein Msh2;DNA repair endonuclease XPF
369	MSH2-MSH6-PMS2-MLH1 complex	Human	MMR complex 2	None	P40692;P43246;P52701;P54278	4292;4436;2956;5395	MI:0031-protein cross-linking with a bifunctional re;MI:0006-anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MLH1;MSH2;MSH6;PMS2	None	10748159	The protein complex specifically binds to mismatched DNA. Interactions occur without addition of ATP.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;None;GTBP;PMSL2	DNA mismatch repair protein Mlh1;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Mismatch repair endonuclease PMS2
370	MSH2-MSH6-PMS1-MLH1 complex	Human	MMR complex 1	None	P40692;P43246;P52701;P54277	4292;4436;2956;5378	MI:0031- protein cross-linking with a bifunctional reagent; MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MLH1;MSH2;MSH6;PMS1	None	10748159	The protein complex specifically binds to mismatched DNA. Interactions occur without addition of ATP.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;None;GTBP;PMSL1	DNA mismatch repair protein Mlh1;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;PMS1 protein homolog 1
374	MSH2-MSH6 complex	Human	MutS-alpha complex	None	P43246;P52701	4436;2956	MI:0006- anti bait coimmunoprecipitation; MI:0031- protein cross-linking with a bifunctional reagent	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MSH2;MSH6	None	8942985	None	None	Homo sapiens (Human);Homo sapiens (Human)	None;GTBP	DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6
375	MSH2-MSH3 complex	Human	MutS-beta complex	None	P20585;P43246	4437;4436	MI:0006- anti bait coimmunoprecipitation; MI:0031- protein cross-linking with a bifunctional reagent	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MSH3;MSH2	None	8942985	None	None	Homo sapiens (Human);Homo sapiens (Human)	DUC1 DUG;None	DNA mismatch repair protein Msh3;DNA mismatch repair protein Msh2
376	PCNA-MutS-alpha-MutL-alpha-DNA complex	Human	PCNA-MSH2-MSH6-MLH1-PMS2 complex	None	P12004;P40692;P43246;P52701;P54278	5111;4292;4436;2956;5395	MI:0031- protein cross-linking with a bifunctional reagent; MI:0019- coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	PCNA;MLH1;MSH2;MSH6;PMS2	None	16204460	MutS-alpha, consisting of MSH2 and MSH6 proteins, and PCNA bind to DNA to form an initial complex. MutL-alpha, consisting of MLH1 and PMS2, binds to the complex when the DNA is damaged.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;COCA2;None;GTBP;PMSL2	Proliferating cell nuclear antigen;DNA mismatch repair protein Mlh1;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6;Mismatch repair endonuclease PMS2
377	PCNA-MSH2-MSH6 complex	Human	PCNA-MutS-alpha-DNA initial complex	None	P12004;P43246;P52701	5111;4436;2956	MI:0031-protein cross-linking with a bifunctional re;MI:0019-coimmunoprecipitation	GO:0006281;GO:0003677;GO:0005634	DNA repair;DNA binding;nucleus	10.01.05.01;16.03.01;70.10	DNA repair;DNA binding;nucleus	PCNA;MSH2;MSH6	None	16204460	MutS-alpha, consisting of MSH2 and MSH6 proteins, and PCNA bind to DNA to form an initial complex. MutL-alpha, consisting of MLH1 and PMS2, binds to the complex when the DNA is damaged.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;None;GTBP	Proliferating cell nuclear antigen;DNA mismatch repair protein Msh2;DNA mismatch repair protein Msh6
378	MSH2-MSH3 complex	Human	MutS-beta complex	None	P20585;P43246	4437;4436	MI:0019-coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MSH3;MSH2	None	8805365	None	None	Homo sapiens (Human);Homo sapiens (Human)	DUC1 DUG;None	DNA mismatch repair protein Msh3;DNA mismatch repair protein Msh2
379	MutL-alpha complex	Human	MLH1-PMS2 complex	None	P40692;P54278	4292;5395	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MLH1;PMS2	None	10748105	Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.	None	Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL2	DNA mismatch repair protein Mlh1;Mismatch repair endonuclease PMS2
380	MutL-beta complex	Human	MLH1-PMS1 complex	None	P40692;P54277	4292;5378	MI:0006- anti bait coimmunoprecipitation	GO:0006281;GO:0003677;GO:0006974;GO:0005634	DNA repair;DNA binding;cellular response to DNA damage stimulus;nucleus	10.01.05.01;16.03.01;32.01.09;70.10	DNA repair;DNA binding;DNA damage response;nucleus	MLH1;PMS1	None	10748105	The results provide evidence for the association of hPMS1 with hMLH1 as a heterodimer in human epithelial cancer cells. Normal levels of hMLH1 protein appear to be important in maintaining normal levels of hPMS1 and hPMS2 proteins, suggesting that PMS proteins are unstable in the absence of hMLH1.	None	Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL1	DNA mismatch repair protein Mlh1;PMS1 protein homolog 1
386	Ubiquitin E3 ligase (UBADC1, RNF123)	Human	KPC complex; KPC1-KPC2 ubiquitin-protein ligase	None	Q5XPI4;Q9BSL1	63891;10422	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0005737	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;cytoplasm	14.07.05;14.13.01.01;16.01;70.03	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;cytoplasm	RNF123;UBAC1	None	15531880	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. The cyclin-dependent kinase inhibitor p27(Kip1) is degraded at the G0-G1 transition of the cell cycle by the ubiquitin-proteasome pathway. Overexpression of KPC promoted the degradation of p27(Kip1), whereas a dominant-negative mutant of KPC1 delayed p27(Kip1) degradation. The nuclear export of p27(Kip1) by CRM1 seems to be necessary for KPC-mediated proteolysis.	None	Homo sapiens (Human);Homo sapiens (Human)	KPC1;GBDR1 KPC2 UBADC1	E3 ubiquitin-protein ligase RNF123;Ubiquitin-associated domain-containing protein 1
387	MCM complex	Human	None	None	P25205;P33991;P33992;P33993;P49736;Q14566	4172;4173;4174;4176;4171;4175	MI:0226- ion exchange chromatography	GO:0051276;GO:0006260;GO:0005524;GO:0005694	chromosome organization;DNA replication;ATP binding;chromosome	42.10.03;10.01.03;16.19.03;70.10.03	organization of chromosome structure;DNA synthesis and replication;ATP binding;chromosome	MCM3;MCM4;MCM5;MCM7;MCM2;MCM6	None	8798650	None	The MCM proteins are highly expressed in malignant human cancer cells and pre-cancerous cells undergoing malignant transformation (PMID:16101384).	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	;CDC21;CDC46;CDC47 MCM2;BM28 CCNL1 CDCL1 KIAA0030;None	DNA replication licensing factor MCM3 ;DNA replication licensing factor MCM4;DNA replication licensing factor MCM5 ;DNA replication licensing factor MCM7;DNA replication licensing factor MCM2;DNA replication licensing factor MCM6
389	ORC complex (origin recognition complex)	Human	None	None	O43913;O43929;Q13415;Q13416;Q9UBD5;Q9Y5N6	5001;5000;4998;4999;23595;23594	MI:0007- anti tag coimmunoprecipitation	GO:0006267;GO:0003688;GO:0005524;GO:0005694	pre-replicative complex assembly involved in nuclear cell cycle DNA replication;DNA replication origin binding;ATP binding;chromosome	10.01.03.03;16.19.03;70.10.03	ori recognition and priming complex formation;ATP binding;chromosome	ORC5;ORC4;ORC1;ORC2;ORC3;ORC6	None	16549788	Orc6 is only weakly associated with the ORC complex.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ORC5L;ORC4L;ORC1L PARC1;ORC2L;LATHEO ORC3L;ORC6L	Origin recognition complex subunit 5;Origin recognition complex subunit 4;Origin recognition complex subunit 1 ;Origin recognition complex subunit 2;Origin recognition complex subunit 3 ;Origin recognition complex subunit 6
390	Ubiquitin E3 ligase (SKP1A, FBXW2, CUL1)	Human	SCF(hFBW2) E3 complex	None	P63208;Q13616;Q9UKT8	6500;8454;26190	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0030878;GO:0005737	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;protein binding;thyroid gland development;cytoplasm	14.07.05;14.13.01.01;16.01;47.03.21.03.06;70.03	modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;thyroid gland;cytoplasm	SKP1;CUL1;FBXW2	None	15640526	The GCM proteins GCMa/1 and GCMb/2 are novel zinc-containing transcription factors critical for glial cell differentiation in fly and for placental as well as parathyroid gland development in mouse. Experiments identify the SCF(hFBW2) E3 complex as the key machinery that targets hGCMa to the ubiquitin-proteasome degradation system.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	EMC19, OCP2, SKP1A, TCEB1L;None;FBW2 FWD2	S-phase kinase-associated protein 1;Cullin-1;F-box/WD repeat-containing protein 2
391	Ubiquitin E3 ligase (DDB1, CUL4A, RBX1)	Human	Ddb1-Cul4a-Roc1 complex	None	P62877;Q13619;Q16531	9978;8451;1642	MI:0007-anti tag coimmunoprecipitation	GO:0016567;GO:0005515;GO:0006974;GO:0006511	protein ubiquitination;protein binding;cellular response to DNA damage stimulus;ubiquitin-dependent protein catabolic process	14.07.05;16.01;32.01.09;14.13.01.01	modification by ubiquitination, deubiquitination;protein binding;DNA damage response;proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;CUL4A;DDB1	None	16964240	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RNF75, ROC1;None;XAP1	E3 ubiquitin-protein ligase RBX1;Cullin-4A;DNA damage-binding protein 1
393	Succinyl-CoA synthetase, GDP-forming	Human	succinyl-CoA ligase	None	P53597;Q96I99	8802;8801	MI:0027-cosedimentation	GO:0006163;GO:0006144;GO:0008152;GO:0005515;GO:0005525;GO:0005739	purine nucleotide metabolic process;purine nucleobase metabolic process;metabolic process;protein binding;GTP binding;mitochondrion	01.03.01;01;16.01;16.19.05;70.16	purin nucleotide/nucleoside/nucleobase metabolism;METABOLISM;protein binding;GTP binding;mitochondrion	SUCLG1;SUCLG2	None	15234968	None	A deletion in SUCLG1, a gene that encodes the alpha subunit of the Krebs-cycle enzyme succinate-coenzyme A ligase (SUCL) causes fatal infantile lactic acidosis(PMID:17668387).	Homo sapiens (Human);Homo sapiens (Human)	None;None	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
394	Succinyl-CoA synthetase, ADP-forming	Human	succinyl-CoA ligase	None	P53597;Q9P2R7	8802;8803	MI:0027-cosedimentation	GO:0006163;GO:0006144;GO:0008152;GO:0005515;GO:0005524;GO:0005739	purine nucleotide metabolic process;purine nucleobase metabolic process;metabolic process;protein binding;ATP binding;mitochondrion	01.03.01;01;16.01;16.19.03;70.16	purin nucleotide/nucleoside/nucleobase metabolism;METABOLISM;protein binding;ATP binding;mitochondrion	SUCLG1;SUCLA2	None	15234968	None	A deletion in SUCLG1, a gene that encodes the alpha subunit of the Krebs-cycle enzyme succinate-coenzyme A ligase (SUCL) causes fatal infantile lactic acidosis(PMID:17668387).	Homo sapiens (Human);Homo sapiens (Human)	None;None	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial
404	Isocitrate dehydrogenase [NADP], cytoplasmic	Human	IDH1 homodimer	None	O75874	3417	MI:0096-pull down	GO:0008152;GO:0050661;GO:0005737;GO:0005777	metabolic process;NADP binding;cytoplasm;peroxisome	01;16.21.07;70.03;70.19	METABOLISM;NAD/NADP binding;cytoplasm;peroxisome	IDH1	None	15173171	Isocitrate dehydrogenases (IDHs) catalyze the oxidative decarboxylation of isocitrate to alpha-ketoglutarate. The isocitrate dehydrogenase complex appears as homodimer.	None	Homo sapiens (Human)	PICD	Isocitrate dehydrogenase [NADP] cytoplasmic
407	Guanylyl cyclase, soluble (GUCY1A2, GUCY1B3)	Human	None	None	P33402;Q02153	2977;2983	MI:0028- cosedimentation in solution	GO:0009187;GO:0005515;GO:0005737	cyclic nucleotide metabolic process;protein binding;cytoplasm	01.03.10;16.01;70.03	metabolism of cyclic and unusual nucleotides;protein binding;cytoplasm	GUCY1A2;GUCY1B3	None	1683630	Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.	None	Homo sapiens (Human);Homo sapiens (Human)	GUC1A2 GUCSA2;GUC1B3 GUCSB3 GUCY1B1	Guanylate cyclase soluble subunit alpha-2 ;Guanylate cyclase soluble subunit beta-1
408	Guanylyl cyclase, soluble (GUCY1A3, GUCY1B3)	Human	None	None	Q02108;Q02153	2982;2983	MI:0028- cosedimentation in solution	GO:0009187;GO:0005515;GO:0005737	cyclic nucleotide metabolic process;protein binding;cytoplasm	01.03.10;16.01;70.03	metabolism of cyclic and unusual nucleotides;protein binding;cytoplasm	GUCY1A3;GUCY1B3	None	1683630	Two soluble guanylyl cyclase complexes were found in mammals.  The GUCY1A3-GUCY1B3 complex exhibits higher guanylyl cyclase activity than the GUCY1A2-GUCY1B3 complex.	None	Homo sapiens (Human);Homo sapiens (Human)	GUC1A3 GUCSA3 GUCY1A1;GUC1B3 GUCSB3 GUCY1B1	Guanylate cyclase soluble subunit alpha-3 ;Guanylate cyclase soluble subunit beta-1
415	EXO1-MLH1-PMS2 complex	Human	None	None	P40692;P54278;Q9UQ84	4292;5395;9156	MI:0006- anti bait coimmunoprecipitation	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	MLH1;PMS2;EXO1	None	11427529	The authors propose  the involvement of hExoI as a downstream effector in MMR (DNA mismatch repair) and/or DNA recombination.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL2;EXOI HEX1	DNA mismatch repair protein Mlh1;Mismatch repair endonuclease PMS2;Exonuclease 1
419	Farnesyltransferase	Human	None	None	P49354;P49356	2339;2342	MI:0114- x-ray crystallography	GO:0006497;GO:0005515	protein lipidation;protein binding	14.07.01;16.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation);protein binding	FNTA;FNTB	None	11687658	None	None	Homo sapiens (Human);Homo sapiens (Human)	;	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha ;Protein farnesyltransferase subunit beta
422	Beta-dystroglycan-caveolin-3 complex	Human	None	muscle	P56539;Q14118	859;1605	MI:0096- pull down;MI:0019- coimmunoprecipitation;MI:0029- cosedimentation through density gradients	GO:0006461;GO:0005886	protein complex assembly;plasma membrane	14.10;70.02	assembly of protein complexes;eukaryotic plasma membrane / membrane attached	CAV3;DAG1	None	10988290	Caveolin-3 can effectively block the interaction of dystrophin with beta -dystroglycan.	DAG1 is involved in muscular dystrophy and cardiomyopathy (PMID:15117830).	Homo sapiens (Human);Homo sapiens (Human)	;	Caveolin-3 ;Dystroglycan
423	EXO1-MLH1-PMS2 complex	Human	None	None	P40692;P54278;Q9UQ84	4292;5395;9156	MI:0096- pull down	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	MLH1;PMS2;EXO1	None	14676842	EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	COCA2;PMSL2;EXOI HEX1	DNA mismatch repair protein Mlh1;Mismatch repair endonuclease PMS2;Exonuclease 1
424	EXO1-MLH1-PCNA complex	Human	None	None	P12004;P40692;Q9UQ84	5111;4292;9156	MI:0663- confocal microscopy	GO:0006308;GO:0006401;GO:0006281;GO:0006974;GO:0005634	DNA catabolic process;RNA catabolic process;DNA repair;cellular response to DNA damage stimulus;nucleus	01.03.16.03;01.03.16.01;10.01.05.01;32.01.09;70.10	DNA degradation;RNA degradation;DNA repair;DNA damage response;nucleus	PCNA;MLH1;EXO1	None	14676842	EXO1 plays a role in events at the replication sites as well as a functional role in the DNA mismatch repair and/or recombination processes.	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None;COCA2;EXOI HEX1	Proliferating cell nuclear antigen;DNA mismatch repair protein Mlh1;Exonuclease 1
